task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
0,variable renaming;string formatting change;guard clause;early return;flattened conditional;branch reordering;dictionary lookup;slicing;input validation;type check;default value handling;behavior change,variable renaming; import reorganization; regex usage; standard library helper; guard clause; flattened conditional; input validation; dictionary lookup; state variable; string formatting change; behavior change,variable renaming;state variable;helper function extraction;memoization;import reorganization;early return;guard clause;flattened conditional;input validation;empty input handling;string formatting change;dictionary lookup,variable renaming;early return;guard clause;flattened conditional;try-except wrapper;any/all usage;join/split usage;dictionary lookup;temporary variable;state variable;input validation;type check;string formatting change,variable renaming; string formatting change; early return; guard clause; branch reordering; dictionary lookup; tuple unpacking; join/split usage; standard library helper; input validation; default value handling; empty input handling
1,formatting only; literal rewrite,input validation; type check; type conversion; boundary case handling; behavior change; helper function extraction; guard clause; exception handling; literal rewrite,helper function extraction; type conversion; temporary variable; literal rewrite; formatting only,helper function extraction; parameter renaming; literal rewrite; formatting only,variable renaming; state variable; temporary variable; helper function extraction; lambda expression; literal rewrite; type conversion
2,variable renaming;loop rewrite;while loop;guard clause;accumulator set;temporary variable;exception handling;type conversion;boundary case handling;type check;dictionary lookup;behavior change,standard library helper; while loop; guard clause; set comprehension; variable renaming; type conversion; exception handling; input validation,while loop; guard clause; flattened conditional; map/filter usage; lambda expression; set conversion; import reorganization; type check; input validation; exception handling; error suppression,variable renaming;loop rewrite;while loop;flattened conditional;guard clause;standard library helper;set comprehension;type check;type conversion;try-except wrapper;membership test;boundary case handling;behavior change,variable renaming;loop rewrite;while loop;tuple unpacking;accumulator set;membership test;type conversion;exception handling;guard clause;boundary case handling
3,import reorganization; list conversion; list comprehension; guard clause; input validation; boundary case handling; standard library helper; exception handling; behavior change,list conversion;guard clause;mathematical formula;loop rewrite;list comprehension;input validation;boundary case handling;import reorganization;temporary variable,recursion with base case;memoization;functools usage;list conversion;list comprehension;generator expression;guard clause;early return;input validation;boundary case handling;behavior change,import reorganization; functools reduce; list conversion; list comprehension; generator expression; loop rewrite; guard clause; input validation; boundary case handling; exception handling; temporary variable; mathematical formula,import reorganization; standard library helper; list conversion; recursion with base case; memoization; guard clause; generator expression; map/filter usage; itertools usage; list comprehension; input validation; boundary case handling; behavior change
4,guard clause; split condition; temporary variable; variable renaming; input validation; empty input handling; default value handling; formatting only,standard library helper;input validation;exception handling;guard clause;list comprehension;any/all usage;generator expression;accumulator list;boundary case handling,guard clause; list comprehension; any/all usage; heap-based; standard library helper; default value handling; behavior change; temporary variable,variable renaming;guard clause;early return;split condition;sentinel flag;dictionary lookup;temporary variable;default value handling;empty input handling;formatting only,variable renaming;guard clause;flattened conditional;any/all usage;generator expression;accumulator list;list comprehension;tuple unpacking;sort key;lambda expression;dictionary lookup;sorting-based approach;empty input handling
5,variable renaming; guard clause; loop rewrite; while loop; accumulator list; temporary variable; join/split usage; default value handling; empty input handling; behavior change,regex usage; loop rewrite; accumulator list; temporary variable; guard clause; string formatting change; f-string; default value handling; input validation; behavior change,variable renaming;loop rewrite;while loop;guard clause;accumulator list;temporary variable;list comprehension;generator expression;itertools usage;import reorganization;default value handling;boundary case handling;behavior change,variable renaming; loop rewrite; index-based loop; guard clause; accumulator list; temporary variable; combined condition; regex usage; join/split usage; string formatting change; default value handling; boundary case handling,variable renaming; guard clause; regex usage; accumulator list; input validation; behavior change
6,variable renaming; list conversion; copy before mutation; input validation; type check; boundary case handling; behavior change; conditional expression; guard clause,variable renaming; helper function extraction; memoization; state variable; list conversion; list comprehension; itertools usage; zip usage; prefix/suffix computation; guard clause; input validation; type check; boundary case handling; behavior change,variable renaming;helper function extraction;for loop;accumulator list;temporary variable;state variable;slicing;guard clause;input validation;type conversion;list conversion;behavior change,variable renaming; list conversion; tuple unpacking; conditional expression; guard clause; input validation; type check; boundary case handling; builtin function; temporary variable,variable renaming;for loop;guard clause;input validation;boundary case handling;type check;list conversion;memoization
7,variable renaming; set conversion; dictionary lookup; guard clause; default value handling; boundary case handling; temporary variable; split condition; conditional expression; formatting only,regex usage; standard library helper; input validation; boundary case handling; guard clause; flattened conditional; dictionary lookup; membership test; variable renaming; formatting only; state variable,variable renaming; loop rewrite; flattened conditional; stack-based; brute force; accumulator list; temporary variable; default value handling; error suppression,variable renaming;standard library helper;set conversion;map/filter usage;lambda expression;dictionary lookup;guard clause;flattened conditional;temporary variable;copy before mutation;empty input handling,accumulator list;generator expression;membership test;try-except wrapper;guard clause;flattened conditional;temporary variable;default value handling;state variable
8,input validation; type check; guard clause; helper function inlining; in-place mutation; behavior change,variable renaming; import reorganization; standard library helper; try-except wrapper; type conversion; type check; input validation; helper function inlining; temporary variable; behavior change,variable renaming;state variable;tuple unpacking;conditional expression;guard clause;input validation;type check;standard library helper;import reorganization;deadlock avoidance;behavior change,variable renaming; property introduction; input validation; type check; behavior change,helper function extraction; input validation; type conversion; type check; in-place mutation; behavior change
9,variable renaming;loop rewrite;builtin function;type conversion;temporary variable;behavior change,helper function extraction;flattened conditional;early return;loop rewrite;accumulator list;in-place mutation;list comprehension;generator expression;join/split usage;input validation;empty input handling;boundary case handling;brute force,helper function extraction;loop rewrite;radix-block decomposition;accumulator list;in-place mutation;constant renaming;guard clause;early return;input validation;string formatting change,helper function extraction;recursion with base case;divide and conquer;accumulator list;loop rewrite;slicing;flattened conditional;early return;input validation;builtin function,helper function extraction; guard clause; flattened conditional; builtin function; fft multiplication; list comprehension; slicing; standard library helper; import reorganization; input validation; behavior change
