task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
0,helper function extraction;import reorganization;early return;guard clause;flattened conditional;sorting-based approach;loop rewrite;zip usage;tuple unpacking;slicing;input validation;boundary case handling,helper function extraction; loop rewrite; index-based loop; flattened conditional; variable renaming; temporary variable; early return; input validation; import reorganization,helper function extraction;variable renaming;guard clause;loop rewrite;accumulator dict;dictionary lookup;temporary variable;membership test;standard library helper;brute force;bucket hashing;input validation;boundary case handling,function renaming; standard library helper; guard clause; early return; loop rewrite; sliding window; sorting-based approach; temporary variable; list conversion; input validation; empty input handling; boundary case handling,loop rewrite;guard clause;accumulator list;in-place mutation;combined condition;standard library helper;sorting-based approach
1,function renaming; variable renaming; import reorganization; guard clause; early return; membership test; accumulator list; combined condition; literal rewrite; empty input handling; behavior change,function renaming; variable renaming; import reorganization; generator expression; join/split usage; membership test; recursion with base case; helper function extraction; early return; while loop; temporary variable; empty input handling,function renaming; import reorganization; itertools usage; generator expression; list comprehension; list conversion; enumerate loop; slicing; temporary variable; early return; empty input handling; prefix/suffix computation; join/split usage,helper function extraction; loop rewrite; functools reduce; list comprehension; membership test; tuple unpacking; accumulator list; variable renaming; function renaming; import reorganization; behavior change,function renaming; variable renaming; import reorganization; loop rewrite; while loop; index-based loop; guard clause; generator expression; membership test; slicing; temporary variable
2,helper function extraction; standard library helper; tuple unpacking; import reorganization; type conversion; behavior change,helper function extraction; import reorganization; standard library helper; type conversion; mathematical formula; behavior change,helper function extraction; temporary variable; builtin function; mathematical formula; type conversion; behavior change,helper function extraction; temporary variable; standard library helper; type conversion; mathematical formula,helper function extraction; literal rewrite; builtin function; type conversion
3,helper function extraction; import reorganization; type annotations added,helper function extraction; loop rewrite; itertools usage; any/all usage; generator expression,loop rewrite; functools reduce; lambda expression; tuple unpacking; combined condition; flattened conditional; helper function extraction; import reorganization,loop rewrite; recursion; helper function extraction; index-based loop; import reorganization; type annotations,helper function extraction; generator expression; any/all usage; state variable; import reorganization
4,helper function extraction;guard clause;empty input handling;standard library helper;import reorganization,helper function extraction;guard clause;empty input handling;standard library helper;generator expression;temporary variable,helper function extraction;import reorganization;functools reduce;lambda expression;conditional expression;temporary variable;guard clause;empty input handling,helper function extraction; import reorganization; guard clause; empty input handling; loop rewrite; for loop; generator expression; temporary variable; builtin function,helper function extraction;type annotations added;import reorganization;standard library helper;list comprehension;generator expression;temporary variable;type conversion;guard clause;empty input handling
5,guard clause;loop rewrite;enumerate loop;accumulator list;temporary variable;variable renaming;function renaming;import reorganization;standard library helper;copy before mutation,guard clause; accumulator list; list comprehension; index-based loop; conditional expression; temporary variable; standard library helper; import reorganization,import reorganization; itertools usage; generator expression; list conversion; in-place mutation; accumulator list; temporary variable; helper function extraction,loop rewrite; recursion with base case; guard clause; tuple unpacking; accumulator list; import reorganization,loop rewrite; slicing; in-place mutation; temporary variable; guard clause; empty input handling; boundary case handling; import reorganization; standard library helper
6,function renaming; parameter renaming; variable renaming; import reorganization; loop rewrite; helper function inlining; split condition; accumulator list; temporary variable; join/split usage; boundary case handling; empty input handling,function renaming;helper function inlining;regex usage;loop rewrite;while loop;accumulator list;list comprehension;join/split usage;behavior change;parameter renaming,function renaming; variable renaming; import reorganization; itertools usage; generator expression; accumulator list; list conversion; prefix/suffix computation; for loop,function renaming;parameter renaming;helper function extraction;recursion with base case;while loop;index-based loop;tuple unpacking;guard clause;empty input handling;join/split usage;type annotations;temporary variable,function renaming;parameter renaming;variable renaming;helper function inlining;loop rewrite;state variable;accumulator list;standard library helper;empty input handling;behavior change
7,variable renaming; helper function extraction; import reorganization; list comprehension; standard library helper,helper function extraction; import reorganization; map/filter usage; lambda expression; list conversion; list comprehension; type annotations,loop rewrite; list comprehension; accumulator list; in-place mutation; helper function extraction; import reorganization,import reorganization; helper function extraction; guard clause; empty input handling; regex usage; temporary variable; list comprehension; list conversion,function renaming; helper function extraction; recursion with base case; guard clause; early return; temporary variable; accumulator list; membership test; standard library helper
8,variable renaming; helper function extraction; import reorganization; standard library helper; type annotations,helper function extraction; loop rewrite; builtin function; standard library helper; temporary variable; import reorganization; type annotations,variable renaming; helper function extraction; loop rewrite; functools reduce; import reorganization; temporary variable,function renaming; recursion with base case; divide and conquer; guard clause; empty input handling; boundary case handling; tuple unpacking; slicing; import reorganization,function renaming;loop rewrite;recursion with base case;guard clause;tuple unpacking;standard library helper;empty input handling
9,variable renaming; helper function extraction; import reorganization; combined condition; type annotations,loop rewrite; itertools usage; list conversion; import reorganization; temporary variable,list comprehension; loop rewrite; state variable; slicing; helper function extraction; import reorganization,loop rewrite; functools reduce; helper function extraction; accumulator list; in-place mutation; guard clause; conditional expression; import reorganization,loop rewrite; recursion; helper function extraction; early return; split condition; accumulator list; in-place mutation; state variable; empty input handling
