task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
20,guard clause; variable renaming; temporary variable; copy before mutation; standard library helper; formatting only,guard clause; import reorganization; copy before mutation; behavior change; variable renaming; literal rewrite,variable renaming;early return;list comprehension;standard library helper;import reorganization;behavior change;type conversion,variable renaming; early return; list comprehension; copy before mutation; behavior change; formatting only,variable renaming; import reorganization; standard library helper; list conversion; list comprehension; copy before mutation; flattened conditional; behavior change; formatting only
21,helper function extraction; variable renaming; try-except wrapper; early return; combined condition; temporary variable; error suppression,helper function extraction;bisect usage;binary search;sorting-based approach;guard clause;list comprehension;tuple unpacking;enumerate loop;state variable;temporary variable;boundary case handling;type conversion,helper function extraction;generator expression;any/all usage;combined condition;flattened conditional;early return;enumerate loop;temporary variable;variable renaming;copy before mutation;in-place mutation,variable renaming;helper function extraction;early return;enumerate loop;combined condition;tuple unpacking;dictionary lookup;copy before mutation;state variable;in-place mutation,helper function extraction; early return; sentinel flag; enumerate loop; copy before mutation; dictionary lookup; variable renaming; boundary case handling; interval overlap check; membership test
22,input validation; type check; boundary case handling; behavior change; list comprehension; accumulator set; accumulator dict; copy before mutation; standard library helper; frequency counting; loop rewrite; membership test,standard library helper; import reorganization; input validation; type check; list comprehension; accumulator set; temporary variable; dictionary lookup; membership test; frequency counting; deterministic tie-break; early return,input validation;guard clause;any/all usage;generator expression;list comprehension;set conversion;accumulator list;membership test;in-place mutation;copy before mutation;accumulator dict;state variable;standard library helper;frequency counting;behavior change,variable renaming;guard clause;loop rewrite;list comprehension;accumulator dict;frequency counting;input validation;empty input handling;type check;set conversion;copy before mutation;behavior change;dictionary lookup,input validation; type check; any/all usage; list comprehension; standard library helper; frequency counting; dictionary lookup; membership test; early return; copy before mutation; behavior change
23,standard library helper; loop rewrite; while loop; guard clause; early return; input validation; boundary case handling; variable renaming; temporary variable; literal rewrite; behavior change; formatting only,itertools usage; import reorganization; list comprehension; mathematical formula; for loop; guard clause; input validation; boundary case handling; behavior change; temporary variable; standard library helper,dynamic programming;stack-based;loop rewrite;guard clause;dict comprehension;enumerate loop;sort key;tuple unpacking;slicing;input validation;boundary case handling;behavior change,standard library helper; input validation; boundary case handling; guard clause; loop rewrite; index-based loop; list comprehension; temporary variable; variable renaming; behavior change,builtin function; input validation; behavior change; guard clause; helper function extraction; generator expression; loop rewrite; while loop; accumulator list; in-place mutation; temporary variable; boundary case handling
24,helper function extraction;type conversion;input validation;exception handling;boundary case handling;variable renaming;temporary variable;guard clause;builtin function,helper function extraction; tuple unpacking; variable renaming; type conversion; type check; input validation; guard clause; exception handling; temporary variable; default value handling,helper function extraction; import reorganization; standard library helper; type conversion; input validation; exception handling; tuple unpacking; default value handling; behavior change,helper function extraction;guard clause;variable renaming;tuple unpacking;standard library helper;mathematical formula;type check;type conversion;boundary case handling,helper function extraction;variable renaming;tuple unpacking;temporary variable;input validation;type conversion;guard clause;boundary case handling
25,guard clause; early return; exception handling; input validation; type check; default value handling; copy before mutation; temporary variable; import reorganization; behavior change,guard clause; early return; exception handling; standard library helper; state variable; accumulator dict; temporary variable; input validation; type check; default value handling; behavior change,import reorganization; state variable; input validation; default value handling; copy before mutation; in-place mutation; dictionary lookup; exception handling; guard clause; behavior change,guard clause;exception handling;dict comprehension;temporary variable;import reorganization;type conversion;state variable;default value handling;conditional expression;behavior change;formatting only;copy before mutation,import reorganization; standard library helper; guard clause; early return; exception handling; error suppression; input validation; type check; default value handling; state variable; temporary variable; dictionary lookup
26,try-except wrapper;empty input handling;guard clause;loop rewrite;helper function extraction;import reorganization;standard library helper;tuple unpacking;temporary variable;default value handling;combined condition;behavior change,import reorganization;guard clause;exception handling;error suppression;loop rewrite;accumulator list;tuple unpacking;f-string;combined condition;empty input handling;boundary case handling;standard library helper;behavior change,import reorganization; standard library helper; try-except wrapper; guard clause; loop rewrite; list comprehension; accumulator list; temporary variable; empty input handling; boundary case handling,import reorganization; try-except wrapper; error suppression; empty input handling; boundary case handling; guard clause; combined condition; list comprehension; loop rewrite; accumulator list; tuple unpacking; standard library helper; behavior change,variable renaming;import reorganization;string formatting change;try-except wrapper;guard clause;loop rewrite;for loop;combined condition;accumulator list;list conversion;list comprehension;tuple unpacking;standard library helper;input validation;empty input handling;boundary case handling;type conversion
27,input validation; type check; boundary case handling; exception handling; behavior change; type conversion; temporary variable; split condition; formatting only,standard library helper; import reorganization; literal rewrite; guard clause; try-except wrapper; exception handling; type conversion; input validation; boundary case handling; temporary variable,standard library helper; state variable; guard clause; exception handling; input validation; type check; boundary case handling; variable renaming; type conversion,helper function extraction;try-except wrapper;type check;type conversion;input validation;behavior change;list comprehension;f-string;mathematical formula,input validation; type conversion; boundary case handling; behavior change; try-except wrapper; exception handling; temporary variable; case normalization; f-string
28,helper function extraction;guard clause;conditional expression;loop rewrite;list comprehension;list conversion;regex usage;join/split usage;string formatting change;import reorganization;input validation;type check;empty input handling,guard clause;helper function extraction;loop rewrite;list comprehension;list conversion;join/split usage;f-string;any/all usage;input validation;type check;empty input handling;state variable;try-except wrapper;error suppression;string formatting change,helper function extraction; guard clause; exception handling; input validation; empty input handling; pandas usage; list comprehension; generator expression; string formatting change; metadata driven lookup,helper function extraction;guard clause;state variable;accumulator list;list comprehension;generator expression;join/split usage;f-string;import reorganization;string formatting change;empty input handling;boundary case handling;thread safety;bulk insertion,variable renaming;string formatting change;helper function extraction;early return;guard clause;exception handling;list comprehension;generator expression;list conversion;join/split usage;input validation;empty input handling;type check;behavior change
29,variable renaming;guard clause;flattened conditional;temporary variable;input validation;empty input handling;behavior change,helper function extraction; empty input handling; standard library helper; type conversion; generator expression; temporary variable; behavior change; builtin function,variable renaming; import reorganization; standard library helper; f-string; string formatting change; guard clause; empty input handling; list comprehension; behavior change,guard clause; empty input handling; for loop; accumulator dict; accumulator list; bisect usage; in-place mutation; dictionary lookup; list comprehension; frequency counting; behavior change,guard clause; input validation; empty input handling; variable renaming; incremental mean; set conversion; standard library helper; behavior change
30,import reorganization; helper function extraction; guard clause; early return; combined condition; temporary variable; type conversion; input validation; empty input handling; boundary case handling; behavior change,import reorganization; list conversion; helper function extraction; guard clause; empty input handling; loop rewrite; for loop; temporary variable; list comprehension; zip usage; standard library helper; brute force; type conversion; behavior change,helper function extraction; guard clause; loop rewrite; temporary variable; type conversion; input validation; empty input handling; boundary case handling; mathematical formula; standard library helper,helper function extraction;guard clause;early return;input validation;empty input handling;type conversion;boundary case handling;temporary variable;standard library helper;mathematical formula;behavior change,input validation;empty input handling;type conversion;list conversion;import reorganization;for loop;temporary variable;conditional expression;guard clause;helper function extraction;mathematical formula;standard library helper;behavior change
