task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
52,helper function extraction; function renaming; input validation; type check; boundary case handling; variable renaming; builtin function; behavior change; temporary variable; exception handling,helper function extraction; input validation; type check; boundary case handling; exception handling; behavior change; variable renaming; import reorganization; standard library helper,helper function extraction; input validation; type check; boundary case handling; early return; exception handling; temporary variable; builtin function; accumulator list; for loop; list conversion; join/split usage,helper function extraction; input validation; type check; boundary case handling; variable renaming; temporary variable; builtin function; exception handling; behavior change,helper function extraction; input validation; type check; boundary case handling; for loop; slicing; accumulator list; builtin function; behavior change
53,helper function extraction;input validation;temporary variable;regex usage;behavior change;string formatting change;literal rewrite;function renaming;nested function,function extraction; import reorganization; input validation; default value handling; regex usage; tokenization; accumulator list; set conversion; while loop; for loop; membership test; conditional logic; string concatenation; string,helper function extraction; temporary variable; input validation; empty input handling; literal rewrite; regex usage; behavior change; string formatting change,helper function extraction;accumulator list;loop rewrite;state variable;input validation;default value handling;algorithmic change;nested conditional;string join;builtin function;regex usage;temporary variable;behavior change,function extraction; input validation; empty input handling; early return; temporary variable; builtin function; literal rewrite; regex usage; whitespace normalization; helper function extraction; lambda expression; case insensitivity;
54,helper function extraction;type conversion;variable renaming;builtin function;mathematical formula;behavior change,helper function extraction; type conversion; input validation; branch reordering; default value handling; guard clause; boundary case handling; mathematical formula; behavior change; literal rewrite,function definition;try-except wrapper;type conversion;builtin function;mathematical formula;behavior change,helper function extraction;type conversion;mathematical formula;behavior change;float division;builtin function;temporary variable;tuple unpacking;accumulator list;in-place mutation,helper function extraction;type conversion;builtin function;behavior change;literal rewrite
55,helper function extraction; variable renaming; type conversion; literal rewrite; behavior change,helper function extraction; type conversion; in-place mutation; exception handling; try-except wrapper; builtin function; copy before mutation removal,helper function extraction; variable renaming; builtin function; method renaming; branch reordering,helper function extraction; builtin function; redundant conditional,helper function extraction; variable renaming; builtin function; type conversion; import reorganization
56,helper function extraction;input validation;parameter renaming;behavior change;builtin function;standard library helper;type conversion;constant renaming;variable renaming;flattened conditional;mathematical formula;list conversion;,helper function extraction;input validation;default value handling;type conversion;mathematical formula;randomization;loop rewrite;accumulator list;builtin function;parameter renaming;literal rewrite;behavior change,helper function extraction;input validation;type conversion;default value handling;builtin function;standard library helper;mathematical formula;convolutional filter;gaussian blur;noise generation;tensor reshaping;,helper function extraction;input validation;type conversion;default value handling;mathematical formula;builtin function;list conversion;loop rewrite;generator expression;tensor creation;interpolation;tensor manipulation;parameter renaming;,helper function extraction;input validation;default value handling;type conversion;algorithmic change;loop rewrite;mathematical formula;builtin function;variable renaming;literal rewrite
57,standard library helper;regex usage;input validation;empty input handling;behavior change;conditional expression,helper function extraction;input validation;empty input handling;builtin function;dict comprehension;behavior change;boundary case handling;while loop;slicing;conditional expression;default value handling,function renaming; type conversion; standard library helper; input validation; empty input handling; set conversion; literal rewrite; loop rewrite; behavior change; accumulator list; join/split usage; slicing,function definition; type annotation; standard library helper; input validation; empty input handling; behavior change; regex usage; builtin function; conditional expression; default value handling,function definition; import reorganization; constant definition; set conversion; input validation; empty input handling; type annotation; regex usage; lambda expression; builtin function; membership test; behavior change; string formatting change
58,function definition; parameter renaming; guard clause; input validation; boundary case handling; mathematical formula; builtin function,helper function extraction;input validation;boundary case handling;mathematical formula;builtin function,helper function extraction; import reorganization; input validation; guard clause; boundary case handling; type conversion; standard library helper; conditional expression; mathematical formula; behavior change; variable renaming,helper function extraction; parameter renaming; variable renaming; input validation; mathematical formula; integer division; boundary case handling; combined condition; literal rewrite,helper function extraction; variable renaming; input validation; type check; boundary case handling; builtin function; behavior change; mathematical formula; conditional expression
59,helper function extraction;import reorganization;combined condition;behavior change;copy before mutation;for loop;index-based loop;input validation;boundary case handling;empty input handling;nested conditional;algorithmic change,helper function extraction; function renaming; import reorganization; copy before mutation; combined condition; behavior change; temporary variable; tuple unpacking; conditional expression; data structure change; mathematical formula; guard clause,helper function extraction; combined condition; copy before mutation; loop rewrite; index-based loop; unique token processing; input validation; temporary variable; builtin function,helper function extraction; import reorganization; copy before mutation; behavior change; combined condition; for loop; accumulator list; list conversion; unique element processing; conditional expression; temporary variable,helper function extraction;copy before mutation;loop rewrite;builtin function;combined condition;behavior change;data filtering;empty input handling;algorithmic change
60,helper function extraction; variable renaming; literal rewrite; builtin function; branch reordering; conditional expression; temporary variable; type conversion; import reorganization,function definition; import reorganization; variable renaming; builtin function; behavior change; algorithmic change; mathematical formula; temporary variable; branch reordering; sentinel flag,helper function extraction; import reorganization; variable renaming; split condition; mathematical formula; builtin function; view reshape; branch reordering; early return,function definition;import reorganization;variable renaming;literal rewrite;reshape operation;for loop;index-based loop;temporary variable;pre-allocation;branch reordering;behavior change,helper function extraction;parameter renaming;temporary variable;import reorganization;builtin function;mathematical formula;branch reordering;flattened conditional;conditional expression;type conversion;literal rewrite;variable renaming
61,algorithmic change; mathematical formula; helper function inlining; type conversion; branch reordering; behavior change; import reorganization; temporary variable; conditional expression; variable renaming,helper function extraction;import reorganization;temporary variable;type conversion;branch reordering;conditional expression;literal rewrite;builtin function;variable renaming;nested conditional;behavior change,helper function extraction; mathematical formula; builtin function; type conversion; temporary variable; conditional expression; branch reordering; default value handling; input validation; behavior change; literal rewrite,helper function extraction;temporary variable;mathematical formula;behavior change;literal rewrite;branch reordering;type conversion;conditional expression;variable renaming,helper function extraction; builtin function; mathematical formula; temporary variable; variable renaming; conditional expression; type conversion; copy before mutation; import reorganization; formatting only
