task_id,base_code_label,variant_1_label,variant_1_probability,variant_2_label,variant_2_probability,variant_3_label,variant_3_probability,variant_4_label,variant_4_probability,variant_5_label,variant_5_probability
RWPB/109,original,unknown,0.32,unknown,0.24,unknown,0.18,unknown,0.16,unknown,0.1
RWPB/54,original,unknown,0.3,unknown,0.2,unknown,0.2,unknown,0.15,unknown,0.15
RWPB/93,original,unknown,0.3,unknown,0.25,unknown,0.2,unknown,0.15,unknown,0.1
RWPB/60,original,unknown,0.3,unknown,0.2,unknown,0.15,unknown,0.2,unknown,0.15
RWPB/31,original,unknown,0.28,unknown,0.24,unknown,0.2,unknown,0.16,unknown,0.12
RWPB/21,original,unknown,0.35,unknown,0.25,unknown,0.2,unknown,0.12,unknown,0.08
RWPB/70,original,unknown,0.3,unknown,0.25,unknown,0.2,unknown,0.15,unknown,0.1
RWPB/83,original,unknown,0.35,unknown,0.25,unknown,0.18,unknown,0.12,unknown,0.1
RWPB/44,original,unknown,0.3,unknown,0.25,unknown,0.2,unknown,0.15,unknown,0.1
RWPB/15,original,unknown,0.3,unknown,0.2,unknown,0.2,unknown,0.15,unknown,0.15
RWPB/119,original,unknown,0.3,unknown,0.25,unknown,0.15,unknown,0.1,unknown,0.2
RWPB/139,original,unknown,0.3,unknown,0.25,unknown,0.2,unknown,0.15,unknown,0.1
RWPB/97,original,unknown,0.3,unknown,0.22,unknown,0.18,unknown,0.16,unknown,0.14
RWPB/8,original,unknown,0.3,unknown,0.2,unknown,0.18,unknown,0.17,unknown,0.15
RWPB/35,original,unknown,0.3,unknown,0.22,unknown,0.18,unknown,0.16,unknown,0.14
RWPB/64,original,unknown,0.28,unknown,0.22,unknown,0.18,unknown,0.18,unknown,0.14
RWPB/50,original,unknown,0.26,unknown,0.22,unknown,0.18,unknown,0.18,unknown,0.16
RWPB/11,original,unknown,0.35,unknown,0.2,unknown,0.18,unknown,0.15,unknown,0.12
RWPB/40,original,unknown,0.3,unknown,0.25,unknown,0.2,unknown,0.15,unknown,0.1
RWPB/74,original,unknown,0.3,unknown,0.22,unknown,0.18,unknown,0.16,unknown,0.14
RWPB/25,original,unknown,0.28,unknown,0.22,unknown,0.2,unknown,0.18,unknown,0.12
RWPB/87,original,unknown,0.28,unknown,0.22,unknown,0.2,unknown,0.16,unknown,0.14
RWPB/129,original,unknown,0.3,unknown,0.25,unknown,0.2,unknown,0.15,unknown,0.1
RWPB/138,original,unknown,0.34,unknown,0.26,unknown,0.14,unknown,0.12,unknown,0.14
RWPB/96,original,unknown,0.3,unknown,0.25,unknown,0.2,unknown,0.15,unknown,0.1
RWPB/9,original,unknown,0.25,unknown,0.22,unknown,0.2,unknown,0.18,unknown,0.15
RWPB/34,original,unknown,0.28,unknown,0.22,unknown,0.2,unknown,0.18,unknown,0.12
RWPB/65,original,unknown,0.28,unknown,0.22,unknown,0.2,unknown,0.18,unknown,0.12
RWPB/51,original,unknown,0.36,unknown,0.22,unknown,0.18,unknown,0.14,unknown,0.1
RWPB/10,original,unknown,0.3,unknown,0.25,unknown,0.2,unknown,0.15,unknown,0.1
